episode,reward,steps,run_id,smoothed_reward_run
0,-154.83785774813052,200,training_log_TD3_20260328_114546.csv,-154.83785774813052
1,-132.54205517297302,200,training_log_TD3_20260328_114546.csv,-143.68995646055177
2,-121.4793272782573,200,training_log_TD3_20260328_114546.csv,-136.28641339978694
3,-98.65814435121116,200,training_log_TD3_20260328_114546.csv,-126.879346137643
4,-99.14508325057672,200,training_log_TD3_20260328_114546.csv,-121.33249356022975
5,-164.70900860118934,81,training_log_TD3_20260328_114546.csv,-128.561912733723
6,164.21761570492316,15,training_log_TD3_20260328_114546.csv,-86.7362658139164
7,-166.0251137263773,59,training_log_TD3_20260328_114546.csv,-96.64737180297402
8,-188.4272517387477,62,training_log_TD3_20260328_114546.csv,-106.84513624028222
9,-211.46952099632347,45,training_log_TD3_20260328_114546.csv,-117.30757471588633
10,-133.47673651224704,42,training_log_TD3_20260328_114546.csv,-118.7774985155555
11,-180.61207091197525,56,training_log_TD3_20260328_114546.csv,-123.93037954859047
12,-194.38089675862471,54,training_log_TD3_20260328_114546.csv,-129.3496501032085
13,-182.8204259329182,50,training_log_TD3_20260328_114546.csv,-133.16899123390203
14,-32.85015888304697,39,training_log_TD3_20260328_114546.csv,-126.48106907717836
15,-151.79157290770496,45,training_log_TD3_20260328_114546.csv,-128.0629755665863
16,-73.96527634979134,55,training_log_TD3_20260328_114546.csv,-124.88075796559833
17,-144.63946931771238,39,training_log_TD3_20260328_114546.csv,-125.97846415182691
18,-275.6495748622386,56,training_log_TD3_20260328_114546.csv,-133.85589103132224
19,-29.705119303774183,54,training_log_TD3_20260328_114546.csv,-128.64835244494483
20,-208.12397864741365,36,training_log_TD3_20260328_114546.csv,-131.312658489909
21,-169.16707299041246,45,training_log_TD3_20260328_114546.csv,-133.143909380781
22,8.199675983827717,43,training_log_TD3_20260328_114546.csv,-126.65995921767671
23,-44.17218681578952,40,training_log_TD3_20260328_114546.csv,-123.93566134090565
24,-135.7310682177524,54,training_log_TD3_20260328_114546.csv,-125.76496058926443
25,-146.31879921862725,42,training_log_TD3_20260328_114546.csv,-124.84545012013632
26,-185.350096460284,39,training_log_TD3_20260328_114546.csv,-142.32383572839666
27,-131.03693349432316,41,training_log_TD3_20260328_114546.csv,-140.574426716794
28,-216.11515946999933,50,training_log_TD3_20260328_114546.csv,-141.95882210335657
29,-196.68484821971128,38,training_log_TD3_20260328_114546.csv,-141.21958846452594
30,-122.07369284791884,47,training_log_TD3_20260328_114546.csv,-140.64943628130953
31,-226.5308925879912,45,training_log_TD3_20260328_114546.csv,-142.94537736511035
32,-79.97123513246697,41,training_log_TD3_20260328_114546.csv,-137.22489428380246
33,-283.6349318620295,55,training_log_TD3_20260328_114546.csv,-142.26561958025803
34,-128.6768406693384,38,training_log_TD3_20260328_114546.csv,-147.05695366957258
35,-179.13474414651114,39,training_log_TD3_20260328_114546.csv,-148.42411223151288
36,-116.9369079953886,56,training_log_TD3_20260328_114546.csv,-150.57269381379277
37,-147.2689633829137,49,training_log_TD3_20260328_114546.csv,-150.7041685170528
38,-166.50150435508755,53,training_log_TD3_20260328_114546.csv,-145.24676499169527
39,-218.5669395548336,65,training_log_TD3_20260328_114546.csv,-154.68985600424827
40,-158.23195172581694,63,training_log_TD3_20260328_114546.csv,-152.19525465816838
41,-180.5515621853888,100,training_log_TD3_20260328_114546.csv,-152.7644791179172
42,-132.6502588885506,110,training_log_TD3_20260328_114546.csv,-159.80697586153616
43,35.33556122960987,200,training_log_TD3_20260328_114546.csv,-155.83158845926616
44,-1.708504663265088,200,training_log_TD3_20260328_114546.csv,-149.13046028154181
45,80.87117306459812,200,training_log_TD3_20260328_114546.csv,-137.77096166738053
46,156.82055548200586,40,training_log_TD3_20260328_114546.csv,-120.66242907026606
47,7.558640424289454,200,training_log_TD3_20260328_114546.csv,-113.7326503743354
48,25.398592651349222,200,training_log_TD3_20260328_114546.csv,-101.65696276826799
49,167.36919982362602,23,training_log_TD3_20260328_114546.csv,-83.45426036610111
50,54.223061275479104,200,training_log_TD3_20260328_114546.csv,-74.63942265993123
51,11.441721347314967,200,training_log_TD3_20260328_114546.csv,-62.740791963165904
52,189.72014198854168,35,training_log_TD3_20260328_114546.csv,-49.256223107115474
53,140.19612315210648,18,training_log_TD3_20260328_114546.csv,-28.06467035640868
54,40.276946378781936,200,training_log_TD3_20260328_114546.csv,-19.616981004002664
55,183.545190809976,80,training_log_TD3_20260328_114546.csv,-1.4829842561783095
56,18.407929975651268,200,training_log_TD3_20260328_114546.csv,5.284257642373683
57,48.27941841543806,200,training_log_TD3_20260328_114546.csv,15.061676732291271
58,151.96637347437775,51,training_log_TD3_20260328_114546.csv,30.985070623764535
59,68.35360706875294,200,training_log_TD3_20260328_114546.csv,45.331097954943864
60,173.00223306007362,96,training_log_TD3_20260328_114546.csv,61.89280719423839
61,185.6188796717428,43,training_log_TD3_20260328_114546.csv,80.20132928709498
62,147.33358116538398,24,training_log_TD3_20260328_114546.csv,94.20052128979171
63,167.9668997980413,79,training_log_TD3_20260328_114546.csv,100.83208821821327
64,100.0,1,training_log_TD3_20260328_114546.csv,105.91751345137652
65,50.02981786626879,200,training_log_TD3_20260328_114546.csv,104.37544569146004
66,158.8356577028119,52,training_log_TD3_20260328_114546.csv,104.47620080250036
67,135.72950405290646,9,training_log_TD3_20260328_114546.csv,110.8847439839312
68,161.47352450338022,48,training_log_TD3_20260328_114546.csv,117.68849057653276
