episode,reward,steps,train_success,train_collision,train_timeout,final_distance,exploration_noise
0,9.336789783297458,200,0,0,1,17.657176693310735,0.05
1,15.009739896327757,200,0,0,1,8.070077293497237,0.05
2,20.193401264908925,200,0,0,1,7.452531186960709,0.05
3,28.35124608665284,200,0,0,1,7.892514592515811,0.05
4,-29.589070580370247,200,0,0,1,5.508380645319914,0.05
5,-94.84531911700215,70,0,0,0,15.249884429092434,0.05
6,-186.72864265346942,41,0,0,0,21.168174530890035,0.05
7,-202.82739641645873,64,0,0,0,30.000037359240707,0.05
8,-162.11670104221344,52,0,0,0,27.343677674867607,0.05
9,-286.56723543630767,58,0,0,0,33.070429494841946,0.05
10,-90.9516530142101,38,0,0,0,15.533834693657349,0.05
11,-182.44078357054974,155,0,0,0,22.361131351953762,0.05
12,-212.05363912141823,104,0,0,0,18.106550618050644,0.05
13,-113.99800796950052,180,0,0,0,18.323076158583376,0.05
14,18.228259109355403,200,0,0,1,6.030586730902209,0.05
15,-11.88856277280462,200,0,0,1,12.299303941752882,0.05
16,-72.11139222189205,137,0,0,0,11.89614981645665,0.05
17,-42.6189442987956,93,0,0,0,9.80387910928492,0.05
18,199.94394317799328,38,1,0,0,1.3190056767510048,0.05
19,-1.3472202571693828,153,0,0,0,8.294807362738915,0.05
20,-9.41006950349108,132,0,0,0,8.229606144833939,0.05
21,73.96723313404655,200,0,0,1,4.804602677106372,0.05
22,8.173915642467978,200,0,0,1,7.393254515504992,0.05
23,25.039978784346328,200,0,0,1,6.058192449063189,0.05
24,20.47959105729873,200,0,0,1,5.1438844343757,0.05
25,37.070733798606526,200,0,0,1,3.797614869558522,0.05
26,62.68911427313238,200,0,0,1,6.271137534580918,0.05
27,54.003024126016285,200,0,0,1,3.9382705149829698,0.05
28,114.76946559874624,200,0,0,1,3.793654954023614,0.05
29,51.7874015364853,200,0,0,1,2.2319249219396173,0.05
30,24.909480259415815,200,0,0,1,3.6128760131272775,0.05
31,60.29223742564377,200,0,0,1,4.365376717015956,0.05
32,40.15014005992199,200,0,0,1,3.779358748072714,0.05
33,17.222005626917916,200,0,0,1,4.764747110324373,0.05
34,138.28871955273834,195,1,0,0,1.4837663100724399,0.05
35,41.42850925460152,200,0,0,1,7.251669515065606,0.05
36,154.56542673163347,30,1,0,0,1.464822456985432,0.05
37,27.646056257976518,200,0,0,1,3.9135426403201916,0.05
38,47.788468496559965,200,0,0,1,3.289197134228981,0.05
39,146.88424319416492,136,1,0,0,1.453378346594394,0.05
40,18.87257629330515,200,0,0,1,5.685924762211307,0.05
41,48.57900083116365,200,0,0,1,6.085706174794006,0.05
42,133.40165908179046,20,1,0,0,1.486947099473326,0.05
43,55.83456703861466,200,0,0,1,3.7483364305706752,0.05
44,71.31606604381157,200,0,0,1,4.53064527289745,0.05
45,89.3414221901051,200,0,0,1,3.705118792324863,0.05
46,40.47240296995271,200,0,0,1,5.0993561177412845,0.05
47,162.02728860186156,141,1,0,0,1.477463108600209,0.05
48,201.0709284639674,57,1,0,0,1.4793455577176258,0.05
49,24.63738255641327,200,0,0,1,4.872498535149914,0.05
50,78.51193340618003,200,0,0,1,2.027843313217534,0.05
51,-8.096861858393304,93,0,0,0,6.36442804183931,0.05
52,81.91060759334444,200,0,0,1,5.059766684008261,0.05
53,67.2179667698373,200,0,0,1,6.824600654431231,0.05
54,152.0941530187858,15,1,0,0,1.4501888485994303,0.05
55,63.530040091446615,200,0,0,1,7.240920645007102,0.05
56,61.45492308234532,200,0,0,1,4.809100195957501,0.05
57,38.959736992662904,200,0,0,1,6.0139152471685735,0.05
58,66.67263615043908,200,0,0,1,3.4170411430430754,0.05
59,43.89996333736506,200,0,0,1,3.394068047821225,0.05
60,117.97400521207332,200,0,0,1,4.567574116439933,0.05
61,35.46623604527804,200,0,0,1,2.1756313292941942,0.05
62,43.98085737330553,200,0,0,1,4.206319111653256,0.05
63,165.68863335283604,157,1,0,0,1.4307502919031319,0.05
64,139.3669989458489,78,1,0,0,1.411620163850422,0.05
65,77.40583154291676,200,0,0,1,2.549741387700363,0.05
66,170.6000258267543,84,1,0,0,1.4982985638060802,0.05
67,98.64275065769844,200,0,0,1,5.268885667653015,0.05
68,158.8015491113926,31,1,0,0,1.4192256905980747,0.05
69,25.440770680851603,200,0,0,1,5.157633500464556,0.05
70,37.966679740024304,200,0,0,1,3.829385608962718,0.05
71,113.62278177998066,200,0,0,1,3.285357574331071,0.05
72,65.07466600578269,200,0,0,1,3.7379236499498925,0.05
73,106.99522493404525,6,1,0,0,1.4706568663411486,0.05
74,122.92878715921914,200,0,0,1,2.6080553190465934,0.05
75,71.53485589251567,200,0,0,1,2.895947002127046,0.05
76,44.19464622163447,200,0,0,1,3.453657751369342,0.05
77,192.74354617681928,53,1,0,0,1.4586678999470282,0.05
78,95.087909731166,200,0,0,1,2.1217345502529685,0.05
79,186.62564956587076,130,1,0,0,1.4484128135143846,0.05
80,85.14537964176067,200,0,0,1,4.118330553217934,0.05
81,182.84025494755682,37,1,0,0,1.4577719982193431,0.05
82,9.970169583866806,200,0,0,1,4.280975733240913,0.05
83,226.4385514945618,81,1,0,0,1.4335072398745863,0.05
84,161.73092797479495,21,1,0,0,1.4437549124810907,0.05
85,54.813836429242336,200,0,0,1,2.3421418953298865,0.05
86,47.46933230940702,200,0,0,1,2.7077475609148993,0.05
87,15.493947432719265,200,0,0,1,2.919660514475656,0.05
88,49.498420557718184,200,0,0,1,3.330566879592468,0.05
89,120.61786288017639,200,0,0,1,2.0202231969772293,0.05
90,72.9483321532137,200,0,0,1,1.5971754539203804,0.05
91,88.83186637891346,200,0,0,1,2.6511118757263783,0.05
92,73.73964505778059,200,0,0,1,2.840554283431356,0.05
93,154.84995906984568,25,1,0,0,1.458756559580002,0.05
94,173.20535823552655,61,1,0,0,1.44446544713838,0.05
95,170.9725223492605,23,1,0,0,1.4934237382755413,0.05
96,69.93249696667708,200,0,0,1,4.436104347037924,0.05
97,146.6872128745525,106,1,0,0,1.4626823550593813,0.05
98,52.10017720766678,200,0,0,1,3.120794000470782,0.05
99,106.75408094798121,200,0,0,1,3.245058975234893,0.05
100,67.74100859007477,200,0,0,1,3.0984660110106113,0.05
101,132.58270752627175,140,1,0,0,1.4836908300130296,0.05
102,128.4243171252682,11,1,0,0,1.3981849419515795,0.05
103,159.99182179188782,175,1,0,0,1.4484953186002514,0.05
104,177.1685480513894,46,1,0,0,1.4738439301054114,0.05
105,149.1880942223073,182,1,0,0,1.4558813212758897,0.05
106,46.06366885962983,200,0,0,1,6.467395659057578,0.05
107,46.80647831658652,200,0,0,1,5.30408630547266,0.05
108,124.38430638233083,178,1,0,0,1.475673984339802,0.05
109,61.99072079211436,200,0,0,1,6.381761819131539,0.05
110,49.58527476256193,200,0,0,1,4.426389065626478,0.05
111,148.8381634900035,104,1,0,0,1.4941835589677033,0.05
112,83.3452211821312,200,0,0,1,2.7304087829761703,0.05
113,48.07983644493498,200,0,0,1,3.027364289352842,0.05
114,185.40442558936235,21,1,0,0,1.4466672301912349,0.05
115,66.83778307049445,200,0,0,1,3.498804261841018,0.05
116,43.04388623840672,200,0,0,1,3.4302263973601765,0.05
117,132.45717132640763,200,0,0,1,3.3595173277890944,0.05
118,79.36671362073292,200,0,0,1,5.154663043507502,0.05
119,166.78769132227671,151,1,0,0,1.4112975225857343,0.05
120,91.13441515968907,200,0,0,1,8.821415679266758,0.05
121,160.42502626426494,31,1,0,0,1.4282615848953688,0.05
122,264.4537447795096,64,1,0,0,1.432300036458453,0.05
123,175.06935405868848,23,1,0,0,1.405334647233525,0.05
124,58.602700592178614,200,0,0,1,6.781326319176591,0.05
125,19.466409799797738,200,0,0,1,4.797880071929162,0.05
126,107.36853995246172,200,0,0,1,3.5628418419598926,0.05
127,177.86927689753705,35,1,0,0,1.4472398987917992,0.05
128,5.516311959525993,200,0,0,1,2.984294967829598,0.05
129,9.84195567888539,200,0,0,1,7.202163429594892,0.05
130,18.201436075289287,200,0,0,1,3.6697588873673608,0.05
131,191.39468132747692,66,1,0,0,1.451645893721132,0.05
132,104.61303221720742,2,1,0,0,1.3915354716750836,0.05
133,183.743155401619,55,1,0,0,1.4705351878078978,0.05
134,173.78176474428034,29,1,0,0,1.4494485793448422,0.05
135,20.904438102040338,200,0,0,1,6.915896083941348,0.05
136,155.63019306429265,32,1,0,0,1.4503096948082805,0.05
137,150.3450777491456,21,1,0,0,1.4135861111020405,0.05
138,20.818696942228897,200,0,0,1,4.081001270521184,0.05
139,214.57085067568727,38,1,0,0,1.4227929803743733,0.05
140,109.74632038097326,4,1,0,0,1.484834444163831,0.05
141,172.3624601346345,36,1,0,0,1.4906241965533373,0.05
142,191.1049664571634,41,1,0,0,1.4853540754684327,0.05
143,18.633703658906057,200,0,0,1,3.2607610770693967,0.05
144,18.30453328095636,200,0,0,1,2.9392818659487396,0.05
145,171.84241490733348,28,1,0,0,1.4147162612647375,0.05
146,90.65807122927069,200,0,0,1,4.0727749391517545,0.05
147,141.53986604336126,70,1,0,0,1.4621506963441673,0.05
148,73.94164469481531,200,0,0,1,2.8710298469628226,0.05
149,144.9371436841484,113,1,0,0,1.4851955629851763,0.05
150,178.96148770086074,28,1,0,0,1.3311984953933542,0.05
151,36.28843528590663,200,0,0,1,4.825334807841855,0.05
152,171.95628984809605,42,1,0,0,1.4385871298031048,0.05
153,214.23482601719365,35,1,0,0,1.4898911206214458,0.05
154,114.52449840013819,12,1,0,0,1.4859348501997618,0.05
155,65.9614080121826,200,0,0,1,4.67455241869395,0.05
156,58.25236423531505,200,0,0,1,3.0855048580025946,0.05
157,26.975994165254576,200,0,0,1,4.1352312247533565,0.05
158,46.48899942569711,200,0,0,1,3.553047103808076,0.05
159,168.0697486428728,30,1,0,0,1.3826462904934356,0.05
160,123.8694479720235,7,1,0,0,1.486529499753204,0.05
161,37.074683120979564,200,0,0,1,5.991624238971755,0.05
162,18.606433753692286,200,0,0,1,2.7877948164759943,0.05
