episode,reward,steps,run_id,smoothed_reward_run
0,-95.94499925459112,200,training_log_20260327_092038.csv,-95.94499925459112
1,-93.44649291916552,200,training_log_20260327_092038.csv,-94.69574608687833
2,-97.46780271189644,200,training_log_20260327_092038.csv,-95.61976496188436
3,-58.46264678289039,200,training_log_20260327_092038.csv,-86.33048541713586
4,-76.1371213890916,200,training_log_20260327_092038.csv,-84.29181261152702
5,123.86036695734433,30,training_log_20260327_092038.csv,-49.59978268338179
6,-203.18268909898995,62,training_log_20260327_092038.csv,-71.54019788561153
7,-110.78523058644456,43,training_log_20260327_092038.csv,-76.44582697321566
8,-66.9744625542974,46,training_log_20260327_092038.csv,-75.39345314889141
9,-145.46726734942175,38,training_log_20260327_092038.csv,-82.40083456894445
10,-63.92105518641175,53,training_log_20260327_092038.csv,-80.72085462507783
11,-73.6557180614023,59,training_log_20260327_092038.csv,-80.13209324477154
12,-70.55381049997634,54,training_log_20260327_092038.csv,-79.39530226440267
13,-154.2722537732795,73,training_log_20260327_092038.csv,-84.74365594360816
14,-129.8051777900993,63,training_log_20260327_092038.csv,-87.74775740004091
15,-148.8680810717089,54,training_log_20260327_092038.csv,-91.56777762952015
16,-128.1316390292809,80,training_log_20260327_092038.csv,-93.71859300597667
17,-108.8819412486481,100,training_log_20260327_092038.csv,-94.56100124168064
18,160.00586384546173,18,training_log_20260327_092038.csv,-81.16274518446262
19,-182.5357857349213,52,training_log_20260327_092038.csv,-86.23139721198555
20,-131.50551472257624,90,training_log_20260327_092038.csv,-88.00942298538482
21,160.16233617970602,17,training_log_20260327_092038.csv,-75.32898153044123
22,-28.270253473085265,57,training_log_20260327_092038.csv,-71.86910406850068
23,-48.21871381243349,47,training_log_20260327_092038.csv,-71.35690741997783
24,-29.40734986973099,66,training_log_20260327_092038.csv,-69.0204188440098
25,-16.6994390831575,65,training_log_20260327_092038.csv,-76.0484091460349
26,17.97407773204018,200,training_log_20260327_092038.csv,-64.99057080448338
27,117.36859236592552,200,training_log_20260327_092038.csv,-53.58287965686488
28,130.8397958199645,200,training_log_20260327_092038.csv,-43.69216673815178
29,-8.285638928402651,200,training_log_20260327_092038.csv,-36.83308531710083
30,53.56305639930631,200,training_log_20260327_092038.csv,-30.958879737814925
31,115.27677042191812,200,training_log_20260327_092038.csv,-21.512255313648904
32,199.4656874028756,71,training_log_20260327_092038.csv,-8.011280418506308
33,155.6479865221777,79,training_log_20260327_092038.csv,7.484731596266552
34,103.82281852302204,200,training_log_20260327_092038.csv,19.166131411922617
35,130.4473664495214,99,training_log_20260327_092038.csv,33.13190378798414
36,77.13181787080406,200,training_log_20260327_092038.csv,43.395076632988385
37,27.682501996802213,200,training_log_20260327_092038.csv,50.2232987952609
38,38.36987762147386,200,training_log_20260327_092038.csv,44.1414994840615
39,197.63121592443133,26,training_log_20260327_092038.csv,63.149849567029136
40,25.663496373293444,200,training_log_20260327_092038.csv,71.00830012182261
41,168.38949488030892,46,training_log_20260327_092038.csv,71.41965805685277
42,186.6536442581477,54,training_log_20260327_092038.csv,82.16585294341442
43,191.92637368970023,151,training_log_20260327_092038.csv,94.1731073185211
44,196.18200134607855,178,training_log_20260327_092038.csv,105.45257487931158
45,24.53971450606556,200,training_log_20260327_092038.csv,107.51453255877273
46,56.68132577035648,200,training_log_20260327_092038.csv,109.44989496068857
47,114.16490741995564,200,training_log_20260327_092038.csv,109.28971071339004
48,56.126912253563695,200,training_log_20260327_092038.csv,105.55406653507
49,233.71911698687163,90,training_log_20260327_092038.csv,117.65430433083372
50,77.92247252672762,200,training_log_20260327_092038.csv,118.8722751372048
51,52.002583163959706,200,training_log_20260327_092038.csv,115.70856577430689
52,61.73917505313268,200,training_log_20260327_092038.csv,108.82224015681973
53,51.09171634293099,200,training_log_20260327_092038.csv,103.59442664785738
54,65.20788133057295,200,training_log_20260327_092038.csv,101.66367978823493
55,159.63704370048882,26,training_log_20260327_092038.csv,103.12316365078331
56,186.83783185003884,35,training_log_20260327_092038.csv,108.60846434974505
57,152.89262093745666,104,training_log_20260327_092038.csv,114.86897029677775
58,143.00771119492163,12,training_log_20260327_092038.csv,120.10086197545016
59,92.5220908342496,200,training_log_20260327_092038.csv,114.84540572094109
60,63.370377259315,200,training_log_20260327_092038.csv,116.73074976524215
61,191.71759121650047,175,training_log_20260327_092038.csv,117.89715458205171
62,131.64887323859563,171,training_log_20260327_092038.csv,115.1469160310741
63,170.25240625876847,22,training_log_20260327_092038.csv,114.06321765952752
64,188.76791408266644,43,training_log_20260327_092038.csv,113.69251329635692
65,133.89473736240635,10,training_log_20260327_092038.csv,119.16026443917397
66,144.33821225835976,96,training_log_20260327_092038.csv,123.54310876357412
67,183.56653279496328,85,training_log_20260327_092038.csv,127.0131900323245
68,186.4205066241157,47,training_log_20260327_092038.csv,133.5278697508521
69,166.40566487898832,68,training_log_20260327_092038.csv,130.16219714545792
70,149.6827911557058,120,training_log_20260327_092038.csv,133.75021307690685
71,135.0615342062151,11,training_log_20260327_092038.csv,137.90316062901962
72,161.4825138762609,123,training_log_20260327_092038.csv,142.89032757017603
73,214.95042872601164,29,training_log_20260327_092038.csv,151.08326318933007
74,173.41824332040045,27,training_log_20260327_092038.csv,156.49378128882145
75,152.15564587872834,18,training_log_20260327_092038.csv,156.1197113977334
76,20.018386167831597,200,training_log_20260327_092038.csv,147.77873911362303
77,91.70759057376029,200,training_log_20260327_092038.csv,144.71948759543824
78,33.94947350171221,200,training_log_20260327_092038.csv,139.26657571077777
79,122.71437808680074,8,training_log_20260327_092038.csv,140.7761900734053
80,165.02299275347346,18,training_log_20260327_092038.csv,145.85882084811323
81,18.93214576211484,200,training_log_20260327_092038.csv,137.21954857539396
82,42.33342364790807,200,training_log_20260327_092038.csv,132.7537760958596
83,55.61958008159275,200,training_log_20260327_092038.csv,127.0221347870008
84,172.40338863080908,45,training_log_20260327_092038.csv,126.20390851440793
85,169.50557108983736,200,training_log_20260327_092038.csv,127.98445020077949
86,176.3175004164363,18,training_log_20260327_092038.csv,129.5834146086833
87,161.05169028104714,65,training_log_20260327_092038.csv,128.4576724829875
88,198.5411915535061,22,training_log_20260327_092038.csv,129.063706729457
89,244.21391193062425,48,training_log_20260327_092038.csv,132.95411908203883
90,61.61000570848518,200,training_log_20260327_092038.csv,128.5504798096778
91,15.488646418408468,200,training_log_20260327_092038.csv,122.57183542028747
92,173.42005282793076,67,training_log_20260327_092038.csv,123.16871236787094
93,154.92005791057898,28,training_log_20260327_092038.csv,120.16719382709933
94,182.98787136667815,25,training_log_20260327_092038.csv,120.6456752294132
95,143.36952729186814,17,training_log_20260327_092038.csv,120.2063693000702
96,169.6148822811872,32,training_log_20260327_092038.csv,127.686194105738
97,154.88214809839025,18,training_log_20260327_092038.csv,130.84492198196946
98,163.80316029642927,26,training_log_20260327_092038.csv,137.33760632170532
99,184.9872253716338,23,training_log_20260327_092038.csv,140.45124868594698
100,103.9129156385641,2,training_log_20260327_092038.csv,137.39574483020152
101,195.2948886478046,31,training_log_20260327_092038.csv,146.21388197448601
102,208.54041172460472,29,training_log_20260327_092038.csv,154.52423137832082
103,245.50180720711344,53,training_log_20260327_092038.csv,164.01834273459684
104,168.8651072147148,69,training_log_20260327_092038.csv,163.84142866379216
105,155.3773901532606,32,training_log_20260327_092038.csv,163.13501961696332
106,203.51306031349344,23,training_log_20260327_092038.csv,164.49479761181618
107,208.52244704921043,35,training_log_20260327_092038.csv,166.86833545022435
108,184.1551719620979,58,training_log_20260327_092038.csv,166.14903447065393
109,173.57162208635455,48,training_log_20260327_092038.csv,162.61691997844042
110,157.8293659297928,94,training_log_20260327_092038.csv,167.4278879895058
111,129.86617109664215,12,training_log_20260327_092038.csv,173.1467642234175
112,123.97765723029,200,training_log_20260327_092038.csv,170.67464444353547
113,193.14440997602765,31,training_log_20260327_092038.csv,172.5858620468079
114,144.0901703491955,12,training_log_20260327_092038.csv,170.64097699593376
115,206.7457214896,41,training_log_20260327_092038.csv,173.80978670582036
116,77.76172438701359,200,training_log_20260327_092038.csv,169.21712881111165
117,168.71562477471923,93,training_log_20260327_092038.csv,169.90880264492813
118,186.3110160187332,113,training_log_20260327_092038.csv,171.03419543104332
119,157.54681209238183,38,training_log_20260327_092038.csv,169.6621747670807
120,154.52102984994346,20,training_log_20260327_092038.csv,172.1925804776497
121,166.40130324932142,21,training_log_20260327_092038.csv,170.74790120772553
122,127.82357573221832,15,training_log_20260327_092038.csv,166.71205940810623
123,136.54147272388482,96,training_log_20260327_092038.csv,161.26404268394478
124,181.37103058423523,54,training_log_20260327_092038.csv,161.88933885242082
125,185.9974137065359,56,training_log_20260327_092038.csv,163.42034003008456
126,142.80411224703073,54,training_log_20260327_092038.csv,160.38489262676143
127,99.22376705998978,200,training_log_20260327_092038.csv,154.9199586273004
128,185.10142611698973,23,training_log_20260327_092038.csv,154.96727133504498
129,164.2307445327904,45,training_log_20260327_092038.csv,154.5002274573668
130,170.74023882697972,28,training_log_20260327_092038.csv,155.14577110222612
131,182.9763946496412,28,training_log_20260327_092038.csv,157.8012822798761
132,173.9633989694129,27,training_log_20260327_092038.csv,160.30056936683224
133,60.02688234916045,200,training_log_20260327_092038.csv,153.6446929854889
134,63.35833399133466,200,training_log_20260327_092038.csv,149.60810116759583
135,71.14281765825831,200,training_log_20260327_092038.csv,142.82795597602876
136,164.10503910109773,26,training_log_20260327_092038.csv,147.14512171173297
