episode,reward,steps,train_success,train_collision,train_timeout,final_distance,exploration_noise
0,-78.72657447801889,200,0,0,1,10.672399390729574,0.2
1,46.517899671870396,200,0,0,1,5.921078664154046,0.1998
2,-77.59847869104921,200,0,0,1,16.3333899070106,0.1996002
3,-10.452479908459793,200,0,0,1,9.749786795595448,0.19940059980000002
4,-61.43472262377481,200,0,0,1,14.232189645250225,0.19920119920020002
5,-139.35712410142986,84,0,0,0,14.352770018225737,0.19900199800099982
6,-182.0788923670614,38,0,0,0,23.670219289935623,0.1988029960029988
7,-150.99950205202487,47,0,0,0,21.502151982797997,0.19860419300699583
8,-104.55822609547761,64,0,0,0,15.94548849827473,0.19840558881398881
9,-135.3713272847657,39,0,0,0,14.93996223383793,0.19820718322517483
10,-145.78978321109344,68,0,0,0,25.724478308055897,0.19800897604194967
11,-143.96215277798598,49,0,0,0,16.17224095731144,0.1978109670659077
12,-172.72578135670074,53,0,0,0,18.98312107949084,0.19761315609884178
13,-57.046933803870125,48,0,0,0,11.808985038150292,0.19741554294274297
14,-100.53266996554531,39,0,0,0,13.353163943161146,0.1972181273998002
15,-173.6802437732576,40,0,0,0,20.493719016096353,0.1970209092724004
16,-169.92788696042032,43,0,0,0,21.573106452975626,0.196823888363128
17,-194.48142392281537,56,0,0,0,21.865472466367876,0.19662706447476488
18,-154.55723671058882,45,0,0,0,15.647300921104078,0.1964304374102901
19,-124.77468041189543,44,0,0,0,19.51752543651062,0.19623400697287982
20,163.37943031065026,18,1,0,0,1.4045377969848563,0.19603777296590696
21,-145.0034437225649,52,0,0,0,17.378204526733747,0.19584173519294104
22,-148.73867492023476,63,0,0,0,18.140697110002144,0.19564589345774808
23,-175.43105717428517,44,0,0,0,17.316035189395595,0.19545024756429036
24,-176.55593993681453,56,0,0,0,25.112126671017055,0.19525479731672604
25,-138.87078458912097,41,0,0,0,15.074769939268599,0.19505954251940932
26,-16.723034063192983,42,0,0,0,6.9596594059065096,0.19486448297688994
27,-13.467450214502556,39,0,0,0,8.118042034373058,0.19466961849391304
28,-116.9337642765544,61,0,0,0,21.287665360264437,0.19447494887541913
29,-157.3111339557273,42,0,0,0,15.473985766823805,0.19428047392654368
30,-130.57793815595898,62,0,0,0,13.95661594955921,0.19408619345261716
31,136.84236414608617,200,0,0,1,2.2386693193565823,0.19389210725916453
32,28.81118400684948,200,0,0,1,3.6412029494464604,0.19369821515190536
33,62.38442918924911,200,0,0,1,4.342863384149851,0.19350451693675347
34,144.58189314911277,35,1,0,0,1.3926761708920932,0.1933110124198167
35,26.074349573988062,200,0,0,1,2.808058952460466,0.1931177014073969
36,8.896794347920146,200,0,0,1,2.344748431966323,0.1929245837059895
37,89.16593919481812,200,0,0,1,1.9104643450147643,0.19273165912228352
38,36.24017032987917,200,0,0,1,2.473743412228154,0.19253892746316123
39,129.17075602425484,200,0,0,1,3.185895716043349,0.19234638853569808
40,211.6486781876678,138,1,0,0,1.4923596403290451,0.19215404214716236
41,30.56114094340542,200,0,0,1,5.284216010874106,0.19196188810501522
42,136.70450917674242,155,1,0,0,1.4633108430060173,0.1917699262169102
43,184.76572675728806,107,1,0,0,1.4621521263903776,0.19157815629069327
44,164.58014475794693,61,1,0,0,1.3971004591316292,0.1913865781344026
45,138.78015546029334,32,1,0,0,1.4798765968967837,0.19119519155626818
46,164.06994376345466,103,1,0,0,1.4996020273406199,0.1910039963647119
47,165.86160036610656,42,1,0,0,1.4681125229413101,0.1908129923683472
48,184.1095205336128,56,1,0,0,1.432552430756251,0.19062217937597886
49,170.97537982410336,33,1,0,0,1.4018431519637948,0.19043155719660287
50,66.04876388939682,200,0,0,1,2.1849787803636076,0.1902411256394063
51,84.36980736163498,200,0,0,1,2.1070395827095543,0.19005088451376687
52,146.83543146477223,15,1,0,0,1.3177345303544228,0.1898608336292531
53,145.3609083861302,16,1,0,0,1.4541054794342718,0.18967097279562384
54,0.7914409655127557,46,0,0,0,4.055011136071519,0.1894813018228282
55,183.96637230851772,27,1,0,0,1.2134148186206501,0.18929182052100538
56,135.745178889729,16,1,0,0,1.3623061209796778,0.18910252870048438
57,150.15310800928117,15,1,0,0,1.449526898794581,0.1889134261717839
58,177.87533006980777,20,1,0,0,1.497509270191725,0.1887245127456121
59,77.36083754859737,200,0,0,1,4.549932496319598,0.1885357882328665
60,18.338850730097736,200,0,0,1,4.120302615667866,0.18834725244463366
61,168.6646564631758,23,1,0,0,1.417729044247204,0.188158905192189
62,37.068544668214265,200,0,0,1,5.622940143857515,0.18797074628699684
63,212.57745479578216,60,1,0,0,1.4555489988248942,0.18778277554070982
64,160.56436380836908,20,1,0,0,1.4433643676061805,0.1875949927651691
65,152.73694361173708,19,1,0,0,1.3900284091648605,0.18740739777240395
66,164.17326176123652,19,1,0,0,1.3988037563506177,0.18721999037463155
67,206.7401429021525,28,1,0,0,1.4050964735989104,0.18703277038425692
68,188.99833097640501,28,1,0,0,1.250915802194753,0.18684573761387266
69,173.69557612123214,125,1,0,0,1.3968126747903804,0.18665889187625878
70,198.7169670449323,47,1,0,0,1.4172632750721335,0.18647223298438254
71,150.00864531146811,106,1,0,0,1.4216383435064741,0.18628576075139813
72,153.47245454383958,35,1,0,0,1.4507037853489093,0.18609947499064672
73,176.6860467051755,30,1,0,0,1.4393765277391168,0.1859133755156561
74,21.99683165310537,200,0,0,1,3.5630233524165367,0.18572746214014044
75,138.2099180592805,13,1,0,0,1.2754988426322802,0.18554173467800028
76,162.44845666146105,52,1,0,0,1.4716375336594596,0.18535619294332228
77,164.07658227201344,162,1,0,0,1.4787268589795017,0.18517083675037896
78,196.44514211544953,26,1,0,0,1.4429996077565288,0.18498566591362858
79,162.31120366921297,22,1,0,0,1.499464069239163,0.18480068024771495
80,199.7665917762664,29,1,0,0,1.4515265826782937,0.18461587956746725
81,161.1267129319671,16,1,0,0,1.2569923771020393,0.18443126368789978
82,185.8880726647844,23,1,0,0,1.4414681083649314,0.1842468324242119
83,149.62564328434664,14,1,0,0,1.3388782294726824,0.18406258559178768
84,196.7282279316904,47,1,0,0,1.4638145504977027,0.1838785230061959
85,155.41915217819752,42,1,0,0,1.4966269116825441,0.18369464448318967
86,122.47503744368684,200,0,0,1,2.793149447830683,0.1835109498387065
87,152.67433137523489,20,1,0,0,1.4314934857137573,0.1833274388888678
88,171.86614696482468,117,1,0,0,1.4613926911224728,0.1831441114499789
89,115.57162209805007,16,1,0,0,1.4511399086717236,0.18296096733852896
90,162.1192265739515,24,1,0,0,1.4557313008178852,0.1827780063711904
91,150.43635487604175,20,1,0,0,1.4636883484619283,0.18259522836481923
92,25.425987061216762,200,0,0,1,6.5892585973409,0.1824126331364544
93,186.6346724642965,100,1,0,0,1.391403472827306,0.18223022050331794
94,18.57912829050894,200,0,0,1,3.1037689967663984,0.18204799028281463
95,181.2949431946332,27,1,0,0,1.4386491162293695,0.18186594229253183
96,183.15730416600306,28,1,0,0,1.271349061061108,0.18168407635023928
97,143.46144373462235,13,1,0,0,1.2374205201192885,0.18150239227388903
98,50.80459770788917,200,0,0,1,2.026444369964005,0.18132088988161515
99,153.85356212259495,17,1,0,0,1.4153694310840428,0.18113956899173356
100,129.1887366972523,13,1,0,0,1.297474978046326,0.1809584294227418
101,26.544214744120723,37,0,0,0,3.3997890844686802,0.18077747099331906
102,121.0772263327062,36,1,0,0,1.372617575409607,0.18059669352232574
103,142.1427710615609,140,1,0,0,1.440236459924957,0.1804160968288034
104,145.21075414156573,17,1,0,0,1.4158486633467529,0.1802356807319746
105,161.33100559655867,19,1,0,0,1.3461372378868792,0.18005544505124263
106,198.89495885668438,145,1,0,0,1.3331238913186065,0.1798753896061914
107,54.5232555296758,200,0,0,1,3.105280662374555,0.1796955142165852
108,140.4480248349601,33,1,0,0,1.4751747392286585,0.17951581870236863
109,199.30815715978918,36,1,0,0,1.4715520306428997,0.17933630288366625
110,112.16493575952046,6,1,0,0,1.3203152972899936,0.1791569665807826
111,145.97742529539627,21,1,0,0,1.4956157156356313,0.17897780961420182
112,87.35140711200117,200,0,0,1,4.269788373580166,0.17879883180458758
113,75.0771297793493,200,0,0,1,3.4504948732739105,0.178620032972783
114,164.78836373838817,27,1,0,0,1.467807630821284,0.17844141293981022
115,185.04706681248916,155,1,0,0,1.4532374325539585,0.17826297152687043
116,170.67938680014112,19,1,0,0,1.420337374393044,0.17808470855534353
117,58.49342544310276,200,0,0,1,4.017891174789426,0.1779066238467882
