episode,reward,steps
216,-233.80741477868628,39
217,-219.18762554721926,42
218,-295.05397688081786,54
219,-277.18108793065755,55
220,-218.5629700023842,52
221,-247.5117390233958,54
222,-183.32365878387583,40
223,-287.4987879590672,54
224,-236.79315577741065,45
225,-187.8506027312071,40
226,-202.9132288189046,51
227,-259.4836641279362,55
228,-229.9325428563024,38
229,-182.37204382900086,55
230,-238.99258340774,41
231,-298.1586384269525,53
232,-211.51605662454222,41
233,-182.80921026621095,39
234,-218.93604894645807,43
235,-163.95153777040167,44
236,-216.98410283020985,38
237,-229.18716023932308,38
238,-261.1479885181666,44
239,-250.12317800993628,44
240,-228.85779806233668,38
241,-148.42723520691703,54
242,-278.275841876828,50
243,-256.5423075971973,43
244,-196.52340374876445,37
245,-131.78893279762806,48
246,-142.5980510009648,38
247,-102.27326081393585,42
248,-165.50844420511552,39
249,-302.9593446744361,64
250,-155.75834182961745,41
251,-222.19765633151442,54
252,-236.2870603300475,41
253,-219.8994805829984,41
254,-309.2124374690533,56
255,-210.36263576878753,49
256,-278.1916403005479,50
257,-204.7610347829466,39
258,-244.91421258712577,44
259,-183.15587865309183,39
260,-213.82982539236224,46
261,-262.40119819636766,46
262,-230.26909917789663,45
263,-251.50650216730787,54
264,-242.28736868769107,42
265,-222.8850440561458,44
266,-292.38484836760756,54
267,-170.88313893578612,39
268,-266.5585996757289,54
269,-244.86140719900064,52
270,-239.86765793478207,54
271,-236.0534024308726,42
272,-200.905684780952,40
273,-231.8086372397348,49
274,-235.0722988740688,56
275,-129.32501605002813,38
276,-167.83755281858512,45
277,-161.82822464093323,39
278,-154.74270573310616,39
279,-201.41559097866008,58
280,-337.27597555205296,61
281,-238.3762275334011,50
282,-308.6813239314009,57
283,-301.05949740440025,53
284,-323.55483527708515,60
285,-185.4817211620851,41
286,-201.9334513013344,53
287,-257.57140164465955,44
288,-218.12023762025572,41
289,-201.79020876774518,46
290,-238.53319688192263,39
291,-174.3089837494914,38
292,-184.58375783761934,41
293,-160.21058300541785,46
294,-229.12725486442994,44
295,-206.5353443746075,41
296,-192.72784871733157,39
297,-248.42052613244095,50
298,-275.7613764168493,51
299,-133.6167944607049,45
300,-227.59190852689468,57
301,-190.4079946864956,41
302,-223.7224436593491,45
303,-253.6407896460017,43
304,-266.3775651197041,47
305,-260.1957614683589,49
306,-226.79185599811578,39
307,-313.3004883585439,59
308,-301.4651326423592,59
309,-200.77046858197855,43
310,-225.02951307654334,43
311,-242.02914093131477,42
312,-248.22395001203637,42
313,-216.124970703701,40
314,-181.16395171652695,39
315,-204.14453995336626,39
316,-225.67082486552883,42
317,-278.14155338450655,48
318,-145.30096482521776,38
319,-217.05911410943568,41
320,-236.1188988438804,39
321,-190.5822883344894,42
322,-211.6070277984548,50
323,-241.63847369370075,44
324,-262.4544750087525,45
325,-213.4725913498334,46
326,-207.8084809638339,43
327,-294.85497139809013,51
328,-217.16435366900404,36
329,-220.62462144593695,37
330,-161.79339506171218,56
331,-287.52128098645346,50
332,-310.86530738702464,59
333,-130.14816331846532,46
334,-226.48955698140662,40
335,-217.36734820326922,38
336,-172.17017584448655,36
337,-176.73495782962235,50
338,-162.74003335184676,36
339,-174.30484508930064,44
340,-304.1094207800878,52
341,-257.21350953046544,43
342,-273.46492537349343,46
343,-219.29171744443076,48
344,-172.9277335474428,35
345,-317.92667808914615,57
346,-255.93259365919306,49
347,-232.87001188569164,41
348,-191.35260775273258,52
349,-250.46443072040734,44
350,-201.0482734237177,37
351,-346.73241173718,63
352,-240.1827680223295,41
353,-252.31361434174664,46
354,-212.58761377742704,43
355,-252.09580854412246,44
356,-252.10385101142663,43
357,-227.17984887898993,37
358,-310.1530495986249,65
359,-203.45096527499075,54
360,-234.2333890464094,41
361,-220.19993454932347,40
362,-163.98286326467132,38
363,-242.9100556084773,44
364,-193.55813694739305,40
365,-231.60615736123128,51
366,-359.3380548736167,66
367,-180.06671482502296,36
368,-216.44621311960267,36
369,-219.68486043306956,41
370,-307.37717580188007,58
371,-259.06873931331927,45
372,-298.27223181919646,53
373,-165.41738084766496,49
374,-224.4624720886988,42
375,-320.53669237045693,57
376,-252.589389123029,43
377,-171.2030665150849,36
378,-227.61281685079334,50
379,-206.3943828107712,39
380,-220.24357263138933,36
381,-219.85665309815997,43
382,-226.74292570532947,40
383,-288.02198439592826,51
384,-235.23284437722228,47
385,-196.55872952159916,37
386,-174.55301402647527,37
387,-190.9462940362575,47
388,-237.5693023788278,40
389,-247.0823720817366,43
390,-168.26040882797452,44
391,-224.704382271458,64
392,-216.36439676313228,45
393,-264.86776107410617,55
394,-239.5107379190199,51
395,-159.9444982363976,36
396,-229.78636611361242,39
397,-210.63310769507012,48
398,-278.9660050795177,48
399,-182.20884186403504,37
400,-197.95371379697036,37
401,-161.69735486803847,37
402,-215.7706797370205,45
403,-237.590140203849,43
404,-221.52048241220973,47
405,-213.09727388159547,40
406,-172.47627659007247,41
407,-218.61870113935075,49
408,-162.36978962444869,47
409,-254.94383498701706,45
410,-237.20493229953607,49
411,-261.40304165874977,49
412,-147.2041103041262,37
413,-228.06108483072725,38
414,-208.01546137143438,39
415,-235.61095130144875,51
416,-173.51635311237848,43
417,-231.30242762593664,38
418,-187.32458914112863,50
419,-196.69064196227444,38
420,-124.06475960749171,37
421,-201.093196732158,50
422,-303.7572039768198,52
423,-269.6768806467759,46
424,-196.56780054125522,37
425,-218.94406437699703,39
426,-289.8548874063533,50
427,-187.29229488890059,38
