episode,reward,steps,train_success,train_collision,train_timeout,final_distance,exploration_noise
0,-52.304648498193394,2,0,1,0,3.1789166114279186,0.2
1,5.1568731037250775,200,0,0,1,10.883483307611568,0.2
2,52.034504679436196,200,0,0,1,4.920874753078353,0.2
3,-13.776903857745236,200,0,0,1,9.337723280799311,0.2
4,-15.047764135588789,200,0,0,1,9.460507008759576,0.2
5,-50.52614855168285,200,0,0,1,13.74820034975111,0.2
6,-212.13072944229367,63,0,0,0,18.28722868998324,0.2
7,-144.27037700164067,61,0,0,0,23.326719604152913,0.2
8,-151.39827759444947,42,0,0,0,18.402446023747597,0.2
9,-210.39394988070788,50,0,0,0,23.816027016425192,0.2
10,-26.6721206942772,8,0,1,0,6.806367445645187,0.2
11,-174.82766085098297,87,0,0,0,19.438343341005528,0.2
12,-39.98163690785004,61,0,0,0,13.00795853599924,0.2
13,-48.24103995074461,2,0,1,0,5.594971091984927,0.2
14,-84.06614453128799,38,0,0,0,9.716272774795645,0.2
15,-116.05200822216177,59,0,0,0,13.55576204492871,0.2
16,-105.65905659061224,50,0,0,0,13.521064998279478,0.2
17,-24.4591506458393,47,0,0,0,6.835614630399011,0.2
18,-148.83323457539333,61,0,0,0,18.51599085759851,0.2
19,-73.6943155558873,50,0,0,0,9.879124467938222,0.2
20,-17.303650254133217,14,0,1,0,3.52757658728445,0.2
21,-122.31807587353538,59,0,0,0,16.23847578818191,0.2
22,-26.203448795289642,56,0,0,0,8.992930141453037,0.2
23,-156.6946834929376,38,0,0,0,15.028375214796698,0.2
24,-58.15067003989859,40,0,0,0,7.272359122852867,0.2
25,29.647753598935108,200,0,0,1,8.665072453532286,0.2
26,50.26395753766628,200,0,0,1,2.7241961565397417,0.2
27,-50.0,1,0,1,0,3.050122493747646,0.2
28,34.24624867155848,200,0,0,1,6.051804100729572,0.2
29,68.73213187403684,200,0,0,1,4.380295286674869,0.2
30,183.42034272908356,62,1,0,0,1.4880265677994404,0.2
31,24.776308699217342,200,0,0,1,2.784662976123316,0.2
32,152.10482927439165,107,1,0,0,1.4324536721885177,0.2
33,60.58537139589843,200,0,0,1,3.938235272915089,0.2
34,173.61870783077347,146,1,0,0,1.4062476893571723,0.2
35,229.7471949798827,176,1,0,0,1.387607864392431,0.2
36,178.34346410704688,33,1,0,0,1.4830388413335562,0.2
37,183.42512511157435,101,1,0,0,1.49567862470393,0.2
38,-11.388437576046975,24,0,1,0,4.983356405772607,0.2
39,159.99475801745365,38,1,0,0,1.47684959092169,0.2
40,-31.5542553008452,7,0,1,0,4.125779890399334,0.2
41,-50.0,1,0,1,0,7.623225788406233,0.2
42,167.43378671860808,76,1,0,0,1.4110105615424366,0.2
43,-50.0,1,0,1,0,3.010850348742369,0.2
44,-37.680236301967746,200,0,0,1,4.178141463406281,0.2
45,222.49512195771496,74,1,0,0,1.4718456887976838,0.2
46,-67.52735182704404,8,0,1,0,3.276191861084202,0.2
47,-8.284710285805573,15,0,1,0,12.330219585427379,0.2
48,-29.415351603983755,22,0,1,0,4.3397055026403315,0.2
49,-37.428047917192785,67,0,1,0,3.202719907938766,0.2
50,-27.37486570372743,34,0,1,0,4.89242522480072,0.2
51,54.512163549037,200,0,0,1,3.246634337035622,0.2
52,102.30109984827853,184,1,0,0,1.3982767227610924,0.2
53,-50.0,1,0,1,0,5.154284724650492,0.2
54,-5.341081201452944,56,0,1,0,3.184177082827518,0.2
55,-31.74526090741113,77,0,0,0,6.291546065959887,0.2
56,147.10512389310534,39,1,0,0,1.4747680238454786,0.2
57,252.03410404576724,76,1,0,0,1.4672745503406641,0.2
58,126.15848475779728,18,1,0,0,1.4538201860626747,0.2
59,-51.77962912653185,96,0,1,0,5.2749302344546445,0.2
60,189.34177128776008,54,1,0,0,1.3913983791674809,0.2
61,229.04953313393997,79,1,0,0,1.4615475586185451,0.2
62,152.56706491593533,43,1,0,0,1.4359899642294764,0.2
63,79.91203711996276,200,0,0,1,3.672408906345464,0.2
64,178.30253289293879,52,1,0,0,1.4489946178788915,0.2
65,169.45551671919176,78,1,0,0,1.451608821199407,0.2
66,229.04839013209255,63,1,0,0,1.4880077725500827,0.2
67,154.57590649126192,40,1,0,0,1.454071566286677,0.2
68,172.01871321420606,56,1,0,0,1.4706151731433754,0.2
69,176.80532594994304,83,1,0,0,1.316614531286054,0.2
70,112.65470721975665,68,1,0,0,1.4541449647225921,0.2
71,163.49192616211258,72,1,0,0,1.4992152077409329,0.2
72,146.63435324092592,115,1,0,0,1.4809356751343004,0.2
73,163.4507362877903,37,1,0,0,1.330623068985595,0.2
74,132.76183640897102,35,1,0,0,1.4558924887591864,0.2
75,153.11097500398716,42,1,0,0,1.4958614419834098,0.2
76,-50.0,1,0,1,0,7.649132187742293,0.2
77,5.5949019235880115,141,0,0,0,5.6875803397283065,0.2
78,202.483661701624,77,1,0,0,1.4169820237097606,0.2
79,255.65338095791762,180,1,0,0,1.4293104437575184,0.2
80,-38.81834725697568,20,0,1,0,3.837669308608905,0.2
81,32.22981927865427,200,0,0,1,4.132514545124327,0.2
82,163.80802232308594,38,1,0,0,1.4915376752664746,0.2
83,114.02122805760044,29,1,0,0,1.4123999220995016,0.2
84,-12.045484254392086,200,0,0,1,5.011107242343487,0.2
85,234.39669186914531,135,1,0,0,1.4119355541398844,0.2
86,14.637591376076386,200,0,0,1,4.7736600037757295,0.2
87,32.25260560101184,200,0,0,1,3.0745814696796225,0.2
88,155.21174509951751,52,1,0,0,1.4995394550967844,0.2
89,154.77606066896357,93,1,0,0,1.463829478537339,0.2
