episode,reward,steps
203,-133.3262757987575,161
204,-136.72858840779043,164
205,-136.7320156047045,164
206,-137.26949318707238,163
207,-135.43850557252878,162
208,-135.16454677533758,162
209,-137.23118622172103,162
210,-132.7967163197187,160
211,-133.8557581423995,162
212,-137.57168921016392,165
213,-136.11400420507331,161
214,-135.79250337639039,161
215,-136.94354416106887,162
216,-137.09200328625855,162
217,-135.65417125217215,161
218,-135.84329355004826,163
219,-262.14767430257643,165
220,-348.0390027226611,164
221,-344.4185781159406,162
222,-342.63998548487615,163
223,-340.8259566390566,164
224,-344.8531094717371,163
225,-330.5334682754304,160
226,-336.99070784563685,165
227,-329.35805478978426,162
228,-336.7345614566523,164
229,-333.8661896046925,164
230,-329.52003757737765,159
231,-339.4749849443422,165
232,-336.6933084426426,164
233,-338.6546016044245,165
234,-331.2339939931843,161
235,-328.3926338965337,163
236,-327.14044071829727,161
237,-336.26793791432675,164
238,-332.75942322206276,162
239,-330.92820445031043,163
240,-310.69168399404924,163
241,-307.9067796087502,163
242,-305.34376685949314,162
243,-305.2137357169143,164
244,-302.5039881666598,164
245,-307.5615526666155,168
246,-292.8137408164394,161
247,-289.9934300796455,162
248,-278.44035523572626,162
249,-283.7745380867662,163
250,-269.42416257443244,161
251,-274.42108957547475,163
252,-277.5397602255769,165
253,-275.67375159430054,164
254,-269.20679360500185,164
255,-267.4114308613901,163
256,-261.01928954730494,162
257,-256.56347012347567,162
258,-253.27756791914445,166
259,-239.15743697941033,164
260,-239.07708020377328,162
261,-237.45258770189244,161
262,-243.30708819435236,162
263,-240.5060553920406,163
264,-242.50789901339274,164
265,-229.67334655462,164
266,-232.12228250115422,163
267,-224.81045493508347,163
268,-230.48762056336324,163
269,-236.4367619718446,163
270,-233.73087879583426,162
271,-236.94967211561018,164
272,-226.9324251905955,162
273,-231.28621069864687,164
274,-234.83666120055327,165
275,-228.52073530159865,165
276,-230.853684586724,162
277,-222.74990204445038,162
278,-228.14771270286883,165
279,-226.06241000067726,165
280,-227.08817420381231,169
281,-220.56488054080867,163
282,-229.23838618958223,163
283,-228.40029231028612,164
284,-227.26987323164096,164
285,-221.1950166957921,161
286,-221.68064100616283,161
287,-232.45976121326288,165
288,-224.89763142891331,162
289,-217.78804372685414,166
290,-202.90604714550233,161
291,-200.85526138187046,162
292,-191.35798680708737,161
293,-191.66361255103743,162
294,-186.3240374272285,163
295,-183.3778568005123,162
296,-187.44143945053,165
297,-178.5686799901868,164
298,-189.2301967834589,200
299,-192.4511841388617,200
300,-182.652800541968,200
301,-177.94147363047665,200
302,-178.0364757746139,200
303,-190.92032723356397,200
304,-226.1594358842306,200
305,-263.89235432759216,200
306,-314.1310189755091,200
307,-314.12595681052295,200
308,-286.18305900192644,200
309,-290.27357298927757,200
310,-306.74696521118165,200
311,-341.35764384790446,200
312,-319.0815203251459,200
313,-317.35160745122187,200
314,-324.5339062334415,200
315,-316.51041589137543,200
316,-311.4036111880034,200
317,-316.51283316698124,200
318,-314.5267023581016,200
319,-309.5563349317957,200
320,-307.8340834583816,200
321,-308.75726321656725,200
322,-311.3480644397738,200
323,-320.585865830151,200
324,-324.4948916540071,200
325,-304.66194576159927,200
326,-311.49335380340364,200
327,-320.5947005451709,200
328,-317.3252184817905,200
329,-315.02657724473346,200
330,-314.4448598854211,200
331,-315.21805274627246,200
332,-304.5709295261132,200
333,-246.65113305548593,200
334,-218.1657833776064,200
335,-311.82163792973193,200
336,-306.81217528201944,200
337,-237.2865366002305,200
338,-300.48782887474425,200
339,-309.7812152876927,200
340,-295.0661573399989,200
341,-236.88039045146138,200
342,-236.0127480166992,200
343,-309.9660050108336,200
344,-316.8866308234459,200
345,-328.9740572804434,200
346,-331.29157118770627,200
347,-316.35599203066624,200
348,-285.95343231592005,200
349,-244.4361706120887,200
350,-324.4940928817333,200
351,-321.06415518673145,200
352,-313.58982431640044,200
353,-258.26412656867905,200
354,-323.0744446455486,200
355,-320.8106347361421,200
356,-328.0184744705863,200
357,-316.7038943478635,200
358,-324.0884638346026,200
359,-265.4235456993755,200
360,-249.8396545597828,200
361,-247.1588942335564,200
362,-314.31481246976244,200
363,-314.7817039809112,200
364,-264.56695246910505,200
365,-266.75922986513586,200
366,-276.4505610587476,200
367,-239.0707871915476,188
368,-245.40014184547098,200
369,-244.03143717249873,200
370,-248.41884158165294,200
371,-245.66853112405312,200
372,-248.32711271401365,200
373,-245.28336093314618,200
374,-254.08195451145843,200
375,-323.8838669934675,200
376,-321.84391323965053,200
377,-325.1388528491617,200
378,-255.3744997549075,200
379,-247.84758158773107,200
380,-263.8041156297299,200
381,-298.3349869196364,200
382,-291.95719570359245,200
383,-259.19757216964274,200
384,-261.9923937541825,200
385,-255.5922107580831,200
386,-250.00296339192488,200
387,-315.27544114462125,200
388,-299.58876997720665,200
389,-248.56004449548888,200
390,-312.2222576418449,200
391,-318.66165648317974,200
392,-321.1405356708606,200
393,-318.4136780599104,200
394,-258.74443643393147,200
395,-299.489890774811,200
396,-245.3204154956008,200
397,-314.13145268196854,200
398,-302.96598776226404,200
399,-317.9610647290992,200
400,-247.5361157015369,200
401,-242.7698235520709,200
402,-242.64303579769873,200
403,-316.7950068125357,200
404,-248.5938139014376,200
405,-230.03036861322877,200
406,-232.93621367569244,200
407,-243.7119760074564,200
408,-238.26458856612192,200
409,-218.18689421033176,196
410,-267.20719605570736,200
411,-217.73926783637944,200
412,-279.7847028698115,200
413,-209.28136966271845,192
414,-197.93096768729717,185
415,-210.13964886193065,197
416,-188.80071155648568,177
417,-194.88686037174918,181
418,-255.7472994195384,200
419,-264.4321411160659,200
420,-215.8858868798324,191
