episode,reward,steps
158,-193.4646315263034,161
159,-195.2253363272011,163
160,-209.1179338842597,167
161,-203.58440736825793,163
162,-200.4655858686881,163
163,-204.52761052068473,163
164,-205.99368090225084,166
165,-209.60071274643366,161
166,-197.50482218061305,164
167,-207.01265496537468,165
168,-237.84622932122525,165
169,-197.69348328507323,163
170,-207.2830808297904,163
171,-209.52069636770685,162
172,-209.75159244300912,167
173,-216.77317458206974,163
174,-195.5954158867422,162
175,-192.79832410045913,166
176,-187.08407597065892,162
177,-187.68103395644138,164
178,-208.2491731490535,162
179,-194.1071718089384,163
180,-213.3615680341524,162
181,-211.47236334537342,162
182,-213.23548865904792,162
183,-222.89549124043347,164
184,-214.45695535373315,163
185,-183.76839391563155,160
186,-222.82569357941128,163
187,-283.7880949245143,165
188,-217.70123204086315,164
189,-215.49997665138994,163
190,-251.62235354091837,166
191,-167.20282050778093,162
192,-220.9248538746151,166
193,-219.81975841262158,163
194,-216.8958094852105,164
195,-214.18652844202302,163
196,-184.4172157520275,183
197,-215.75382505014187,165
198,-222.37272793467824,163
199,-220.65155646857778,164
200,-252.65955286585918,200
201,-248.73210264117404,200
202,-259.6935623947817,200
203,-252.10848204363987,200
204,-271.77319812803876,200
205,-185.1109809463764,200
206,-197.97647409752528,200
207,-265.19353106493173,200
208,-277.35770601178433,200
209,-327.52141204961913,200
210,-354.73627219090866,200
211,-197.08741989020598,200
212,-249.31558133463648,200
213,-218.12768261143225,200
214,-201.13759145541954,200
215,-250.80569806542715,200
216,-343.8949201815151,200
217,-247.13802567901342,200
218,-240.33673843860782,200
219,-242.57531729640564,200
220,-254.3880298116315,200
221,-326.5854938987222,200
222,-175.61547086224604,172
223,-201.14314216179588,184
224,-370.5143941921284,200
225,-243.73095173849595,200
226,-250.6518298625363,200
227,-259.5662199560334,200
228,-250.6785542684387,187
229,-252.54538035550203,200
230,-170.78756329678615,175
231,-258.19691058582106,200
232,-407.61759471609724,200
233,-218.85264387107267,177
234,-170.59171554815796,200
235,-158.48170611468865,200
236,-170.1610119627771,200
237,-206.24555394122063,200
238,-263.9458699428003,200
239,-210.38807520626523,200
240,-325.8291603862856,200
241,-300.34749587898403,200
242,-246.44552085136553,200
243,-249.91726518842628,200
244,-302.99112993744956,200
245,-264.35936070429034,200
246,-209.92955040059,200
247,-331.77465071812344,200
248,-262.81046049286914,200
249,-233.27025055845067,197
250,-334.06477036493976,200
251,-186.8553114110925,200
252,-229.1897194056691,200
253,-333.4891228097065,200
254,-207.76832744547582,200
255,-256.2818411699696,200
256,-263.1982238892518,200
257,-332.2109400931812,200
258,-263.11710041386243,200
259,-183.97790292921457,200
260,-206.3233402598193,200
261,-155.2955687210135,200
262,-163.7548250807712,200
263,-179.00534133662381,200
264,-267.6898991566306,200
265,-261.68850862181694,200
266,-206.14395669715162,200
267,-182.4299689827108,200
