episode,reward,steps,train_success,train_collision,train_timeout,final_distance,exploration_noise
0,17.20779588767856,200,0,0,1,16.640789827108115,0.2
1,13.747831882746365,200,0,0,1,7.978079372529005,0.2
2,27.255701260692387,200,0,0,1,6.501770487021812,0.2
3,33.51945357600922,200,0,0,1,7.148034911102434,0.2
4,-35.10207739178526,200,0,0,1,5.843696797331444,0.2
5,-133.62984319495826,69,0,0,0,19.187527210252426,0.2
6,-175.36780711001106,40,0,0,0,18.442609149320038,0.2
7,-136.07637438839402,50,0,0,0,16.841626768193223,0.2
8,-160.07029251920181,43,0,0,0,16.46073867528128,0.2
9,-35.865249861467845,62,0,0,0,12.542951796186733,0.2
10,16.25333346903838,70,0,0,0,7.75680439784435,0.2
11,-186.31154286240704,50,0,0,0,23.49821234133237,0.2
12,-59.54671485471217,52,0,0,0,12.688838946387344,0.2
13,-155.58154535837105,44,0,0,0,18.614111794459614,0.2
14,-95.23539662189498,50,0,0,0,12.627942819930853,0.2
15,-36.41253121620955,58,0,0,0,10.571111648954133,0.2
16,-91.61723261639477,50,0,0,0,14.32283023887144,0.2
17,-23.97587363058527,45,0,0,0,8.601155408046226,0.2
18,-118.5939409618546,51,0,0,0,15.836410468220661,0.2
19,0.9666789109836813,69,0,0,0,11.18664747563378,0.2
20,-128.1609260613441,47,0,0,0,15.580344692750996,0.2
21,-198.45827033669786,40,0,0,0,18.29792552410479,0.2
22,-117.40050192087692,47,0,0,0,12.777119068078948,0.2
23,-126.50943927083281,60,0,0,0,16.44267248404737,0.2
24,10.587954792931932,70,0,0,0,7.479634760371575,0.2
25,-76.28556503337009,54,0,0,0,10.983943164689489,0.2
26,-163.11225229821747,46,0,0,0,13.855273132424564,0.2
27,-30.578447133484772,66,0,0,0,8.563497121664197,0.2
28,-115.42281515383273,40,0,0,0,12.040709258217625,0.2
29,-122.135451485587,41,0,0,0,14.052686885976435,0.2
30,-58.34351284702278,71,0,0,0,11.747574343968038,0.2
31,-111.38800649634801,47,0,0,0,11.9600578068743,0.2
32,-69.40661173038085,39,0,0,0,11.047960888193513,0.2
33,-104.53025463518037,58,0,0,0,13.790428074654542,0.2
34,-19.82652447158512,49,0,0,0,6.782286840756556,0.2
35,-43.99195484931832,42,0,0,0,7.809953655908077,0.2
36,-58.828811783152396,62,0,0,0,11.447037891658983,0.2
37,-66.91307710245556,69,0,0,0,13.247465274722693,0.2
38,215.53146656839772,37,1,0,0,1.4527243906876597,0.2
39,-20.122480880125323,59,0,0,0,8.20215471931119,0.2
40,-84.76089318616981,57,0,0,0,10.329742900154823,0.2
41,-45.97448696361166,53,0,0,0,9.16530358327519,0.2
42,-106.68228782598463,39,0,0,0,12.731159171489983,0.2
43,-122.34451560764596,44,0,0,0,11.329500230094938,0.2
44,-36.003365387344616,59,0,0,0,10.976038827448978,0.2
45,-86.81477465397066,59,0,0,0,11.88105395680427,0.2
46,202.33890508758952,33,1,0,0,1.497612989597324,0.2
47,-66.25506695062899,55,0,0,0,12.178931766134259,0.2
48,-51.500154422408954,40,0,0,0,9.036047263726617,0.2
49,-134.25791297054957,64,0,0,0,14.345754351433005,0.2
50,-3.5396310965543307,39,0,0,0,4.421602504666982,0.2
51,-112.73192005102143,52,0,0,0,12.178233217929531,0.2
52,-119.48217182190295,43,0,0,0,13.678578178478384,0.2
53,263.5339204071181,61,1,0,0,1.346874163564727,0.2
54,157.2765426825002,18,1,0,0,1.412091520603618,0.2
55,-26.886020704492896,51,0,0,0,6.652514433306634,0.2
56,-94.33241263298913,65,0,0,0,13.443054870744538,0.2
57,-139.7766167597049,50,0,0,0,12.35642302965677,0.2
58,-106.08797498419119,48,0,0,0,10.101571344913383,0.2
59,-139.8759273423724,46,0,0,0,11.770593250837717,0.2
60,-99.85604421732458,46,0,0,0,13.556351085838557,0.2
61,-84.80292501497038,62,0,0,0,12.314430472149176,0.2
62,-94.16434663978117,44,0,0,0,11.023059405718607,0.2
63,-34.883131386135936,58,0,0,0,9.42661763810216,0.2
64,-98.67438578252161,54,0,0,0,11.786715028475031,0.2
